,VFID,strain,VF_Name,cate,pro_Name
VFG051330(gb|NP_220391.1),VF1346,Chlamydia trachomatis D/UW-3/CX,Pmps,Adherence,pmpE
VFG051360(gb|NP_220392.1),VF1346,Chlamydia trachomatis D/UW-3/CX,Pmps,Adherence,pmpF
VFG051368(gb|NP_220393.1),VF1346,Chlamydia trachomatis D/UW-3/CX,Pmps,Adherence,pmpG
VFG051435(gb|NP_220394.1),VF1346,Chlamydia trachomatis D/UW-3/CX,Pmps,Adherence,pmpH
VFG051447(gb|NP_220396.1),VF1346,Chlamydia trachomatis D/UW-3/CX,Pmps,Adherence,pmpI
VFG051474(gb|NP_219519.1),VF1348,Chlamydia trachomatis D/UW-3/CX,Ctad1,Invasion,ctad1
VFG002274(gb|WP_011009584),VF0378,Clostridium perfringens str. 13,Alpha-toxin (CpPLC),Exotoxin,plc
VFG002275(gb|WP_003467630),VF0382,Clostridium perfringens str. 13,Theta-toxin/PFO,Exotoxin,pfoA
VFG002276(gb|WP_011009653),VF0388,Clostridium perfringens str. 13,Kappa-toxin,Exoenzyme,colA
VFG002277(gb|WP_011009663),VF0389,Clostridium perfringens str. 13,Mu-toxin,Exoenzyme,nagH
VFG002278(gb|WP_011010095),VF0389,Clostridium perfringens str. 13,Mu-toxin,Exoenzyme,nagI
VFG002279(gb|WP_003467250),VF0389,Clostridium perfringens str. 13,Mu-toxin,Exoenzyme,nagJ
VFG002280(gb|WP_011010361),VF0389,Clostridium perfringens str. 13,Mu-toxin,Exoenzyme,nagK
VFG002281(gb|WP_003468301),VF0389,Clostridium perfringens str. 13,Mu-toxin,Exoenzyme,nagL
VFG002282(gb|WP_041707714),VF0390,Clostridium perfringens str. 13,Alpha-clostripain,Exoenzyme,cloSI
VFG002285(gb|WP_011590492),VF0391,Clostridium perfringens ATCC 13124,Sialidase,Exoenzyme,nanH
VFG002286(gb|WP_003470007),VF0383,Clostridium perfringens SM101,CPE,Exotoxin,cpe
VFG002287(gb|WP_011860904),VF0376,Clostridium difficile 630,TcdA,Exotoxin,toxA
VFG002288(gb|WP_009902069),VF0377,Clostridium difficile 630,TcdB,Exotoxin,toxB
VFG002289(gb|WP_011100836),VF0374,Clostridium tetani E88,TeNT,Exotoxin,tetX
VFG002290(gb|WP_004456321),VF0379,Clostridium perfringens B str. ATCC 3626,Beta-toxin (CPB),Exotoxin,cpb
VFG002291(gb|WP_003458888),VF0380,Clostridium perfringens str. NCTC 8533B4D,Epsilon-toxin (ETX),Exotoxin,ext
VFG002292(gb|CAA51959),VF0381,Clostridium perfringens E str. NCIB 10748,Iota-toxin,Exotoxin,iap
VFG002293(gb|CAA51960),VF0381,Clostridium perfringens E str. NCIB 10748,Iota-toxin,Exotoxin,ibp
VFG002296(gb|CAA41768),VF0387,Clostridium botulinum D str. 1873,C3 toxin,Exotoxin,C3bot1
VFG002300(gb|CAA88565),VF0386,Clostridium novyi str. ATCC19402,Alpha-toxin (novyi),Exotoxin,tcnA
VFG012088(gb|WP_011861686),VF0589,Clostridium difficile 630,SlpA,Adherence,slpA
VFG012089(gb|WP_011861682),VF0591,Clostridium difficile 630,Cwp66,Adherence,cwp66
VFG012095(gb|WP_003435012),VF0594,Clostridium difficile 630,GroEL,Adherence,groEL
VFG012104(gb|WP_011861612),VF0595,Clostridium difficile 630,FbpA/Fbp68,Adherence,fbpA/fbp68
VFG012114(gb|WP_004454925),VF0385,Clostridium difficile 630,CDT,Exotoxin,cdtA
VFG012115,VF0385,Clostridium difficile 630,CDT,Exotoxin,VF0385
VFG012122(gb|WP_010968250),VF0417,Clostridium perfringens str. 13,Beta2-toxin,Exotoxin,cpb2
VFG012160(gb|WP_011590331),VF0391,Clostridium perfringens ATCC 13124,Sialidase,Exoenzyme,nanI
VFG012162(gb|WP_011590241),VF0391,Clostridium perfringens ATCC 13124,Sialidase,Exoenzyme,nanJ
VFG012191(gb|WP_011948511),VF0375,Clostridium botulinum A str. ATCC 3502,BoNT,Exotoxin,bont
VFG019178(gb|WP_012291519),VF0375,Clostridium botulinum B1 str. Okra,BoNT,Exotoxin,bont
VFG019180(gb|WP_011987710),VF0375,Clostridium botulinum F str. Langeland,BoNT,Exotoxin,bont
VFG043656(gb|WP_003377818),VF0384,Clostridium botulinum C str. 203U28,C2 toxin,Exotoxin,C2I
VFG043666(gb|CAA60674),VF0387,Clostridium limosum str. 2,C3 toxin,Exotoxin,C3lim
VFG043773(gb|YP_398516),VF0375,Clostridium botulinum C str. Stockholm,BoNT,Exotoxin,bont
VFG043774(gb|AAB24244),VF0375,Clostridium botulinum D str. CB16,BoNT,Exotoxin,bont
VFG043775(gb|BAB86845),VF0375,Clostridium botulinum E str. 35396,BoNT,Exotoxin,bont
VFG043778(gb|CAA52275),VF0375,"Clostridium botulinum G str. 113/30, NCFB 3012",BoNT,Exotoxin,bont
VFG044015(gb|ACN73257),VF0597,Clostridium perfringens str. GrE ABAT,NetB,Exotoxin,netB
VFG044024(gb|ACA60977),VF0416,Clostridium septicum str. NH2,Alpha-toxin (septicum),Exotoxin,ACA60977
VFG044025(gb|WP_012669495),VF0384,Clostridium botulinum C str. 203U28,C2 toxin,Exotoxin,C2II
VFG050212(gb|WP_011861707),VF0598,Clostridium difficile 630,CD2831,Adherence,CD2831
VFG050213(gb|WP_011861889),VF0599,Clostridium difficile 630,CD3246,Adherence,CD3246
VFG050214(gb|WP_011860844),VF0596,Clostridium difficile 630,CwpV,Adherence,cwpV
VFG050215(gb|WP_011861680),VF0590,Clostridium difficile 630,Cwp84,Exoenzyme,cwp84
VFG050216(gb|WP_011861847),VF0592,Clostridium difficile 630,CbpA,Adherence,cbpA
VFG050217(gb|WP_011860976),VF0593,Clostridium difficile 630,CD0873,Adherence,CD0873
VFG050218(gb|WP_011861706),VF0600,Clostridium difficile 630,Zmp1,Exoenzyme,zmp1
VFG051287(gb|WP_003366488.1),VF0387,Clostridium botulinum C str. Eklund,C3 toxin,Exotoxin,C3bot2
VFG002198(gb|WP_003850266),VF0363,Corynebacterium diphtheriae NCTC 13129,DT,Exotoxin,tox
VFG002199(gb|WP_010935501),VF0364,Corynebacterium diphtheriae NCTC 13129,SpaA-type pili,Adherence,spaC
VFG002200(gb|WP_010935502),VF0364,Corynebacterium diphtheriae NCTC 13129,SpaA-type pili,Adherence,spaB
VFG002201(gb|WP_010935504),VF0364,Corynebacterium diphtheriae NCTC 13129,SpaA-type pili,Adherence,spaA
VFG013668(gb|WP_010935503),VF0364,Corynebacterium diphtheriae NCTC 13129,SpaA-type pili,Adherence,srtA
VFG050289(gb|WP_010934515),VF0601,Corynebacterium diphtheriae NCTC 13129,DIP0733,Adherence,DIP_RS14950
VFG050290(gb|WP_010934947),VF0602,Corynebacterium diphtheriae NCTC 13129,DIP1281,Adherence,DIP_RS17590
VFG050291(gb|WP_014302131),VF0603,Corynebacterium diphtheriae NCTC 13129,DIP1621,Adherence,DIP_RS19245
VFG050292(gb|WP_010935564),VF0604,Corynebacterium diphtheriae NCTC 13129,DIP2093,Adherence,DIP_RS23695
VFG050293(gb|WP_010935399),VF0605,Corynebacterium diphtheriae NCTC 13129,MdbA,Post-translational modification,DIP_RS20575
VFG039101(gb|NP_819363),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmH/dotU
VFG039106(gb|NP_820604),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmB/dotO
VFG039111(gb|NP_820605),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmJ/dotN
VFG039116(gb|NP_820606),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmD/dotP
VFG039121(gb|NP_820607),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmC/dotE
VFG039126(gb|NP_820608),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmG/dotF
VFG039131(gb|NP_820609),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmE/dotG
VFG039136(gb|NP_820610),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmK/dotH
VFG039141(gb|NP_820611),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmL.1/dotI
VFG039146(gb|NP_820612),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmL.2/dotI
VFG039151(gb|NP_820613),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmN/dotK
VFG039156(gb|NP_820614),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmO/dotL
VFG039161(gb|NP_820615),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmP/dotM
VFG039166(gb|NP_820616),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmQ
VFG039171(gb|YP_002333017),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,coxigA/icmR
VFG039176(gb|NP_820623),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmT
VFG039181(gb|NP_820624),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmS
VFG039186(gb|NP_820625),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,dotD
VFG039191(gb|NP_820626),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,dotC
VFG039196(gb|NP_820627),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,dotB
VFG039201(gb|NP_820630),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,dotA
VFG039206(gb|NP_820631),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmV
VFG039211(gb|NP_820632),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmW
VFG039216(gb|NP_820634),VF0503,Coxiella burnetii RSA 493,Dot/Icm T4SS,Effector delivery system,icmX
VFG039221,VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,VF0696
VFG039226(gb|NP_819077),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cetCb1
VFG039231(gb|NP_819096),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cirA/coxCC1
VFG039236(gb|NP_819115),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cem1
VFG039240(gb|NP_819125),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,ankA
VFG039245(gb|NP_819130),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,mceA
VFG039255(gb|NP_819163),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_0113
VFG039263,VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,VF0696
VFG039269(gb|NP_819221),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxK1
VFG039274(gb|NP_819247),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_0201
VFG039282(gb|NP_819314),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_0270
VFG039287(gb|NP_819338),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_0295
VFG039297,VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,VF0696
VFG039302(gb|NP_819412),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_0372
VFG039306,VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,VF0696
VFG039311(gb|NP_819427),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cetCb2
VFG039316(gb|NP_819448),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxCC3
VFG039326(gb|NP_819463),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cirB
VFG039331(gb|NP_819484),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,ankF
VFG039336(gb|NP_819504),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_0469
VFG039341(gb|NP_819545),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_0513
VFG039345(gb|NP_819620),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_0590
VFG039351(gb|NP_819656),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cetCb3
VFG039356(gb|NP_819665),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_0635
VFG039361(gb|NP_819667),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_0637
VFG039366(gb|NP_819695),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cvpA
VFG039371(gb|NP_819795),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,phnB
VFG039376(gb|NP_819802),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,ankG
VFG039381(gb|NP_819814),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxCC4
VFG039386(gb|NP_819821),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxH2/rimL
VFG039392,VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,VF0696
VFG039395(gb|NP_819899),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxCC5
VFG039400(gb|NP_819902),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cetCB4
VFG039405(gb|NP_819950),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cirC/coxDFB1
VFG039410(gb|NP_819986),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cem3
VFG039415,VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,VF0696
VFG039425(gb|NP_820063),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cem4
VFG039430(gb|NP_820078),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1079
VFG039436,VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,VF0696
VFG039441,VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,VF0696
VFG039446(gb|NP_820193),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1198
VFG039449(gb|NP_820208),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,ankI
VFG039454(gb|NP_820212),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxU2
VFG039459(gb|NP_820305),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxCC6
VFG039464(gb|NP_820359),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1370
VFG039469,VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,VF0696
VFG039474(gb|NP_820376),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cem6
VFG039479,VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,VF0696
VFG039481(gb|NP_820393),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1409
VFG039486(gb|NP_820409),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxDFB4
VFG039491(gb|NP_820417),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1434
VFG039496(gb|NP_820440),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxTPR1
VFG039501(gb|NP_820443),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxCC7/cig44
VFG039506,VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,VF0696
VFG039517,VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,VF0696
VFG039526(gb|NP_820526),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxCC10/cig49
VFG039531(gb|NP_820539),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxCC11
VFG039536(gb|NP_820549),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1566
VFG039541(gb|NP_820552),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxCC12
VFG039545(gb|NP_820559),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1576
VFG039549(gb|NP_820577),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1594
VFG039558(gb|NP_820589),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1607
VFG039563(gb|NP_820618),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxCC14
VFG039568(gb|NP_820621),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1639
VFG039572(gb|NP_820647),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1665
VFG039575(gb|NP_820658),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cem9
VFG039580(gb|NP_820659),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1677
VFG039585(gb|NP_820667),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1685
VFG039590(gb|NP_820668),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cetCb5
VFG039595(gb|NP_820705),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cetCb6
VFG039600(gb|NP_820731),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxDFB5/cig57
VFG039605(gb|NP_820734),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1754
VFG039610,VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,VF0696
VFG039615(gb|NP_820749),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxH3
VFG039623(gb|NP_820769),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1789
VFG039626(gb|NP_820770),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1790
VFG039631(gb|NP_820773),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1794
VFG039636(gb|NP_820797),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1818
VFG039641(gb|NP_820802),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxH4/cig61
VFG039646(gb|NP_820804),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxDFB6
VFG039656(gb|NP_820982),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cem12
VFG039661(gb|NP_820988),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cem13
VFG039666(gb|NP_820990),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_2016
VFG039671(gb|NP_821001),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_2028
VFG039676(gb|NP_821023),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxCC15
VFG039681(gb|NP_821027),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_2056
VFG039686,VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,VF0696
VFG039691(gb|NP_821046),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_2076
VFG039696(gb|NP_821048),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,coxFIC1
VFG039700(gb|NP_819024),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cpeA
VFG039704(gb|NP_819030),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cpeB
VFG039706(gb|NP_819031),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cpeC/coxU3
VFG039708(gb|NP_819032),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cpeD
VFG039710(gb|NP_819033),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cpeE
VFG039714(gb|NP_819040),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cpeF
VFG039716(gb|NP_819042),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cpeG
VFG039719(gb|NP_819050),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,cpeH
VFG041423(gb|WP_158300522),VF0696,Coxiella burnetii Dugway 5J108-111,T4SS secreted effectors,Effector delivery system,CBUD_RS12405
VFG041424(gb|WP_005768624),VF0696,Coxiella burnetii Dugway 5J108-111,T4SS secreted effectors,Effector delivery system,CBUD_RS05145
VFG041425(gb|WP_011996917),VF0696,Coxiella burnetii Dugway 5J108-111,T4SS secreted effectors,Effector delivery system,CBUD_RS11275
VFG041426(gb|WP_005772782),VF0696,Coxiella burnetii Dugway 5J108-111,T4SS secreted effectors,Effector delivery system,CBUD_RS06720*
VFG041427(gb|WP_143343646),VF0696,Coxiella burnetii Dugway 5J108-111,T4SS secreted effectors,Effector delivery system,CBUD_RS08635
VFG041429(gb|WP_005771199),VF0696,Coxiella burnetii CbuK_Q154,T4SS secreted effectors,Effector delivery system,CBUK_RS06760
VFG041433(gb|WP_012569786),VF0696,Coxiella burnetii CbuG_Q212,T4SS secreted effectors,Effector delivery system,CBUG_RS02435
VFG046152,VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,VF0696
VFG046157(gb|NP_819172),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_0122
VFG046162(gb|NP_819229),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_0183
VFG046166(gb|NP_819566),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_0534
VFG046169,VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,VF0696
VFG046172,VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,VF0696
VFG046177(gb|NP_820262),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1268
VFG046182(gb|NP_820338),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1349
VFG046187(gb|NP_820476),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1493
VFG046191,VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,VF0696
VFG046194(gb|NP_820513),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1530
VFG046196(gb|NP_820596),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1614
VFG046201(gb|NP_820732),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1752
VFG046206(gb|NP_820798),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1819
VFG046211(gb|NP_820840),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBU_1863
VFG046214(gb|NP_819037),VF0696,Coxiella burnetii RSA 493,T4SS secreted effectors,Effector delivery system,CBUA0020
VFG002164(gb|WP_002395058),VF0352,Enterococcus faecalis V583,AS,Adherence,prgB/asc10
VFG002165(gb|WP_002356954),VF0354,Enterococcus faecalis V583,EfaA,Adherence,efaA
VFG002166(gb|WP_010714416),VF0355,Enterococcus faecalis V583,Ace,Adherence,ace
VFG002171(gb|WP_011109430),VF0352,Enterococcus faecalis V583,AS,Adherence,EF0149
VFG002172(gb|WP_010710127),VF0352,Enterococcus faecalis V583,AS,Adherence,EF0485
VFG002173(gb|WP_010785625),VF0352,Enterococcus faecalis V583,AS,Adherence,asa1
VFG002174(gb|WP_002369251),VF0357,Enterococcus faecalis V583,Gelatinase,Exoenzyme,gelE
VFG002175(gb|AAM75248),VF0356,Enterococcus faecalis str. MMH594,Cytolysin,Exotoxin,cylR1
VFG002176(gb|AAM75252),VF0356,Enterococcus faecalis str. MMH594,Cytolysin,Exotoxin,cylB
VFG002177(gb|AAM75253),VF0356,Enterococcus faecalis str. MMH594,Cytolysin,Exotoxin,cylA
VFG002178(gb|AAM75254),VF0356,Enterococcus faecalis str. MMH594,Cytolysin,Exotoxin,cylI
VFG002179(gb|AAD09858),VF0353,Enterococcus faecalis str. MMH594,Esp,Adherence,esp
VFG002180(gb|WP_002362627),VF0361,Enterococcus faecalis V583,Capsule,Immune modulation,cpsK
VFG002181(gb|WP_002387127),VF0361,Enterococcus faecalis V583,Capsule,Immune modulation,cpsJ
VFG002182(gb|WP_002376666),VF0361,Enterococcus faecalis V583,Capsule,Immune modulation,cpsI
VFG002183(gb|WP_002387128),VF0361,Enterococcus faecalis V583,Capsule,Immune modulation,cpsH
VFG002184(gb|WP_002359685),VF0361,Enterococcus faecalis V583,Capsule,Immune modulation,cpsG
VFG002185(gb|WP_002367100),VF0361,Enterococcus faecalis V583,Capsule,Immune modulation,cpsF
VFG002186(gb|WP_002387129),VF0361,Enterococcus faecalis V583,Capsule,Immune modulation,cpsE
VFG002187(gb|WP_002370472),VF0361,Enterococcus faecalis V583,Capsule,Immune modulation,cpsD
VFG002188(gb|WP_002362618),VF0361,Enterococcus faecalis V583,Capsule,Immune modulation,cpsC
VFG002189(gb|WP_002359680),VF0361,Enterococcus faecalis V583,Capsule,Immune modulation,cpsB/cdsA
VFG002190(gb|WP_002362225),VF0361,Enterococcus faecalis V583,Capsule,Immune modulation,cpsA/uppS
VFG002191(gb|WP_002369252),VF0358,Enterococcus faecalis V583,SprE,Exoenzyme,sprE
VFG002192(gb|WP_002386893),VF0360,Enterococcus faecalis V583,Fsr,Biofilm,fsrC
VFG002193(gb|WP_002369249),VF0360,Enterococcus faecalis V583,Fsr,Biofilm,fsrB
VFG002194(gb|WP_011109506),VF0360,Enterococcus faecalis V583,Fsr,Biofilm,fsrA
VFG002195(gb|WP_002399773),VF0359,Enterococcus faecalis V583,Hyaluronidase,Exoenzyme,EF0818
VFG002196(gb|WP_011109578),VF0359,Enterococcus faecalis V583,Hyaluronidase,Exoenzyme,EF3023
VFG002197(gb|WP_002387027),VF0362,Enterococcus faecalis V583,BopD,Biofilm,bopD
VFG042976(gb|WP_154081516),VF0538,Enterococcus faecalis V583,Ebp pili,Adherence,ebpA
VFG042977(gb|WP_002379309),VF0538,Enterococcus faecalis V583,Ebp pili,Adherence,ebpB
VFG042978(gb|WP_011109477),VF0538,Enterococcus faecalis V583,Ebp pili,Adherence,ebpC
VFG042979(gb|WP_002379311),VF0538,Enterococcus faecalis V583,Ebp pili,Adherence,srtC
